Homicide	6	January	2006	1/31/2006
Rape	16	January	2006	1/31/2006
Robbery	166	January	2006	1/31/2006
Assault	136	January	2006	1/31/2006
Burglary	354	January	2006	1/31/2006
Larceny	683	January	2006	1/31/2006
Motor Vehicle Theft	204	January	2006	1/31/2006
Homicide	4	February	2006	2/28/2006
Rape	11	February	2006	2/28/2006
Robbery	127	February	2006	2/28/2006
Assault	125	February	2006	2/28/2006
Burglary	294	February	2006	2/28/2006
Larceny	506	February	2006	2/28/2006
Motor Vehicle Theft	165	February	2006	2/28/2006
Homicide	3	March	2006	3/31/2006
Rape	19	March	2006	3/31/2006
Robbery	127	March	2006	3/31/2006
Assault	132	March	2006	3/31/2006
Burglary	320	March	2006	3/31/2006
Larceny	610	March	2006	3/31/2006
Motor Vehicle Theft	153	March	2006	3/31/2006
Homicide	6	April	2006	4/30/2006
Rape	11	April	2006	4/30/2006
Robbery	148	April	2006	4/30/2006
Assault	205	April	2006	4/30/2006
Burglary	303	April	2006	4/30/2006
Larceny	608	April	2006	4/30/2006
Motor Vehicle Theft	174	April	2006	4/30/2006
Homicide	5	May	2006	5/31/2006
Rape	19	May	2006	5/31/2006
Robbery	146	May	2006	5/31/2006
Assault	204	May	2006	5/31/2006
Burglary	378	May	2006	5/31/2006
Larceny	723	May	2006	5/31/2006
Motor Vehicle Theft	198	May	2006	5/31/2006
Homicide	7	June	2006	6/30/2006
Rape	14	June	2006	6/30/2006
Robbery	156	June	2006	6/30/2006
Assault	199	June	2006	6/30/2006
Burglary	344	June	2006	6/30/2006
Larceny	734	June	2006	6/30/2006
Motor Vehicle Theft	151	June	2006	6/30/2006
Homicide	9	July	2006	7/31/2006
Rape	16	July	2006	7/31/2006
Robbery	159	July	2006	7/31/2006
Assault	205	July	2006	7/31/2006
Burglary	472	July	2006	7/31/2006
Larceny	876	July	2006	7/31/2006
Motor Vehicle Theft	178	July	2006	7/31/2006
Homicide	11	August	2006	8/31/2006
Rape	16	August	2006	8/31/2006
Robbery	154	August	2006	8/31/2006
Assault	193	August	2006	8/31/2006
Burglary	408	August	2006	8/31/2006
Larceny	871	August	2006	8/31/2006
Motor Vehicle Theft	202	August	2006	8/31/2006
Homicide	7	September	2006	9/30/2006
Rape	12	September	2006	9/30/2006
Robbery	145	September	2006	9/30/2006
Assault	147	September	2006	9/30/2006
Burglary	394	September	2006	9/30/2006
Larceny	786	September	2006	9/30/2006
Motor Vehicle Theft	183	September	2006	9/30/2006
Homicide	6	October	2006	10/31/2006
Rape	18	October	2006	10/31/2006
Robbery	125	October	2006	10/31/2006
Assault	130	October	2006	10/31/2006
Burglary	452	October	2006	10/31/2006
Larceny	846	October	2006	10/31/2006
Motor Vehicle Theft	217	October	2006	10/31/2006
Homicide	6	November	2006	11/30/2006
Rape	11	November	2006	11/30/2006
Robbery	131	November	2006	11/30/2006
Assault	140	November	2006	11/30/2006
Burglary	358	November	2006	11/30/2006
Larceny	841	November	2006	11/30/2006
Motor Vehicle Theft	169	November	2006	11/30/2006
Homicide	3	December	2006	12/31/2006
Rape	9	December	2006	12/31/2006
Robbery	124	December	2006	12/31/2006
Assault	106	December	2006	12/31/2006
Burglary	368	December	2006	12/31/2006
Larceny	785	December	2006	12/31/2006
Motor Vehicle Theft	159	December	2006	12/31/2006
Homicide	4	January	2007	1/31/2007
Rape	14	January	2007	1/31/2007
Robbery	110	January	2007	1/31/2007
Assault	115	January	2007	1/31/2007
Burglary	351	January	2007	1/31/2007
Larceny	700	January	2007	1/31/2007
Motor Vehicle Theft	165	January	2007	1/31/2007
Homicide	4	February	2007	2/28/2007
Rape	8	February	2007	2/28/2007
Robbery	72	February	2007	2/28/2007
Assault	85	February	2007	2/28/2007
Burglary	233	February	2007	2/28/2007
Larceny	520	February	2007	2/28/2007
Motor Vehicle Theft	146	February	2007	2/28/2007
Homicide	3	March	2007	3/31/2007
Rape	12	March	2007	3/31/2007
Robbery	111	March	2007	3/31/2007
Assault	138	March	2007	3/31/2007
Burglary	300	March	2007	3/31/2007
Larceny	736	March	2007	3/31/2007
Motor Vehicle Theft	180	March	2007	3/31/2007
Homicide	4	April	2007	4/30/2007
Rape	16	April	2007	4/30/2007
Robbery	107	April	2007	4/30/2007
Assault	117	April	2007	4/30/2007
Burglary	331	April	2007	4/30/2007
Larceny	734	April	2007	4/30/2007
Motor Vehicle Theft	199	April	2007	4/30/2007
Homicide	2	May	2007	5/31/2007
Rape	15	May	2007	5/31/2007
Robbery	125	May	2007	5/31/2007
Assault	166	May	2007	5/31/2007
Burglary	333	May	2007	5/31/2007
Larceny	787	May	2007	5/31/2007
Motor Vehicle Theft	176	May	2007	5/31/2007
Homicide	6	June	2007	6/30/2007
Rape	18	June	2007	6/30/2007
Robbery	154	June	2007	6/30/2007
Assault	195	June	2007	6/30/2007
Burglary	390	June	2007	6/30/2007
Larceny	888	June	2007	6/30/2007
Motor Vehicle Theft	187	June	2007	6/30/2007
Homicide	5	July	2007	7/31/2007
Rape	15	July	2007	7/31/2007
Robbery	141	July	2007	7/31/2007
Assault	193	July	2007	7/31/2007
Burglary	430	July	2007	7/31/2007
Larceny	1001	July	2007	7/31/2007
Motor Vehicle Theft	228	July	2007	7/31/2007
Homicide	7	August	2007	8/31/2007
Rape	15	August	2007	8/31/2007
Robbery	140	August	2007	8/31/2007
Assault	197	August	2007	8/31/2007
Burglary	461	August	2007	8/31/2007
Larceny	975	August	2007	8/31/2007
Motor Vehicle Theft	183	August	2007	8/31/2007
Homicide	3	September	2007	9/30/2007
Rape	11	September	2007	9/30/2007
Robbery	165	September	2007	9/30/2007
Assault	137	September	2007	9/30/2007
Burglary	439	September	2007	9/30/2007
Larceny	889	September	2007	9/30/2007
Motor Vehicle Theft	206	September	2007	9/30/2007
Homicide	7	October	2007	10/31/2007
Rape	14	October	2007	10/31/2007
Robbery	138	October	2007	10/31/2007
Assault	142	October	2007	10/31/2007
Burglary	417	October	2007	10/31/2007
Larceny	836	October	2007	10/31/2007
Motor Vehicle Theft	214	October	2007	10/31/2007
Homicide	3	November	2007	11/30/2007
Rape	16	November	2007	11/30/2007
Robbery	122	November	2007	11/30/2007
Assault	100	November	2007	11/30/2007
Burglary	368	November	2007	11/30/2007
Larceny	797	November	2007	11/30/2007
Motor Vehicle Theft	179	November	2007	11/30/2007
Homicide	6	December	2007	12/31/2007
Rape	14	December	2007	12/31/2007
Robbery	151	December	2007	12/31/2007
Assault	94	December	2007	12/31/2007
